,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
605,0.0022199687950935276,1.466144203082091e-05,0.11085598289730958,0.004521058288744763,0.12633492460856482
606,0.0,0.0,0.1379905421474937,0.004182218867034699,0.153808323280459
607,0.0,0.0,0.17349819639895325,0.006739917177664187,0.18675827922128904
608,0.0,0.0,0.20820556738167895,0.008141623195879409,0.22006394418579953
609,0.0,0.0,0.22722999276689246,0.009390639103727269,0.2378393536631652
610,0.0,0.0,0.2407770981203483,0.010295924225664816,0.2504811738946835
611,0.0,0.0,0.24961101202506605,0.010663789920529734,0.2589472221045363
612,0.0,0.0,0.25029980800848106,0.0022898537587881154,0.2680099542496929
613,0.0,0.0,0.24944325144318283,0.005553785510428308,0.26388946593275453
614,0.002667988506951896,0.0,0.22662318963917488,0.00866027973722432,0.23796290990195054
615,0.004577479962200775,0.0,0.18789148497763258,0.011803345925228234,0.19608813905240433
616,0.005326000073238555,0.0,0.14211405438461105,0.011943857576935397,0.15017019680767563
617,0.005644089700506747,0.0,0.10466762058526055,0.007036218724595724,0.11763140186066484
618,0.01459483673646858,0.0,0.09645900770407255,0.00702508554113605,0.1094339221629365
619,0.0195781996617888,0.0,0.08288807286397347,0.006750708413799611,0.09613736445017386
620,0.020973499270772706,0.0,0.07212982420957756,0.006323897296063056,0.0858059269135145
621,0.01971513689453374,0.0,0.060969984815574925,0.005821479910570965,0.07514850490500395
622,0.01878009934700766,0.0,0.06159892711518851,0.005293204882841638,0.07630572223234687
623,0.016479893163122206,0.0,0.06617387477896375,0.004767901059548159,0.0814059737194156
624,0.013279204103977482,0.0,0.0778062071929538,0.0042653110937787946,0.093540896099175
625,0.008634215014108815,0.0,0.09548043505494586,0.003803246523939674,0.11167718853100618
626,0.0020245546450006285,0.0,0.11414950138360182,0.003382578489591766,0.13076692289401004
627,0.0,0.0,0.1384553914440341,0.0030098740552055533,0.15544551738882853
628,0.0,0.0,0.16022320583440264,0.0026808535089747503,0.1775423523254279
629,0.0,0.0,0.19488540903344143,0.002366804518458287,0.21251860451498314
630,0.0,0.0,0.23560046228661838,0.005981375969571929,0.24961908631704643
631,0.0,0.0,0.25651959900355636,0.006289997142504627,0.27022960186105177
632,2.9427467165409803e-06,0.0,0.25904867804907256,0.008276008848628435,0.2707726692004441
633,6.248363765344703e-06,0.0,0.24968868441963316,0.009489192847067562,0.2601994915725656
634,6.932352262057864e-06,0.0,0.23017300076836777,0.0065028314390275736,0.24367016932934019
635,0.0005557920164304031,0.0,0.20776272801308798,0.0,0.22776272801308797
636,0.00678182258302993,0.0,0.18171693581843648,0.004990393371777169,0.1967265424466593
637,0.01061363940220145,0.0,0.1464091383988812,0.009084949544351295,0.1573241888545299
638,0.012190451959919487,0.0,0.1084446202244703,0.0075945807412492496,0.12085003948322105
639,0.012057141124813707,0.0,0.07372102600657023,0.00848580658463572,0.08523521942193452
640,0.01446698855641265,0.0,0.07159107553076138,0.00869809444056848,0.08289298109019291
641,0.017127386804376345,0.0,0.06567887480031614,0.00851642772829626,0.07716244707201987
642,0.018220013870439776,0.0,0.06225470792030149,0.008130890963963218,0.07412381695633827
643,0.017342355283784132,0.0,0.061421242145210386,0.007925630136634049,0.07349561200857634
644,0.014867079089834815,0.0,0.07255378099573673,0.012914095616978222,0.07963968537875851
645,0.011589172701855846,0.0,0.09844290721946014,0.029933829991516857,0.08850907722794328
646,0.008815256765119236,0.0,1.809725076764356,0.0542056901690396,1.7755193865953163
647,0.007552946521464832,0.0,3.80353113858541,0.07756709873073754,3.7459640398546723
648,0.005569564330933534,0.0,4.804082715672193,0.08908209259808601,4.7350006230741055
649,0.002749093925635859,0.0,5.011806770045205,0.09921434791171146,4.932592422133494
650,5.9785474318833434e-05,0.0,4.918405796657815,0.09925416207812013,4.839151634579695
651,0.0,0.0,4.293556029690148,0.09305150737199643,4.220504522318151
652,0.0,0.0,3.674069042149683,0.08353702380170684,3.610532018347976
653,0.0,0.0,2.807467424719367,0.07982925812133311,2.747638166598034
654,0.0,0.0,1.9513464769796365,0.07072715952684447,1.9006193174527921
655,0.0,0.0,0.44758789057847836,0.06132526942652253,0.4062626211519559
656,0.0,0.0,0.2170493436559751,0.053488973519690064,0.18356037013628504
657,0.0,0.0,0.1654366874894787,0.0467211563958627,0.138715531093616
658,0.0020173920446341703,0.0,0.14909233428299054,0.05291547732432775,0.11617685695866278
659,0.0038032184567558156,0.0,0.12314147054322233,0.055463655919560706,0.08767781462366164
660,0.0045029911094992,0.0,0.0900662375247833,0.0568714198058005,0.05319481771898278
661,0.004558153723595221,0.0,0.05730488842083013,0.04770532456465473,0.029599563856175397
662,0.004969551670104699,0.0,0.048771995359705056,0.03731326392375186,0.031458731435953194
663,0.005632387131372036,0.0,0.04670969768632703,0.029955834820044658,0.03675386286628238
664,0.0051845059513651775,0.0,0.049997583790750436,0.02066554445593271,0.04933203933481772
665,0.00442664889733038,0.0,0.06379904796491626,0.018426171742048074,0.06537287622286816
666,0.0032694227688998823,0.0,0.08208599175097017,0.0163255908632186,0.08576040088775157
667,0.001664634035921144,0.0,0.10252275882659533,0.014409917902811814,0.10811284092378352
668,0.0005063399130547792,0.0,0.12962892944439838,0.012683525034060847,0.13694540441033753
669,0.00015052195731643655,0.0,0.16794895602945897,0.009163208642208324,0.17878574738725064
670,0.0,0.0,0.21287897871886327,0.008485599436624521,0.2243933792822387
671,0.0,0.0,0.24662372398141305,0.008857684968917184,0.2577660390124959
672,0.0,0.0,0.26881611419474494,0.011423108902442372,0.2773930052923026
673,0.0,0.0,0.28081765818140364,0.011759811635679629,0.28905784654572403
674,0.0,0.0,0.29254076268011864,0.012511575323116083,0.30002918735700257
675,0.0,0.0,0.2949674396290043,0.017106458114713164,0.2978609815142911
