,STMD_R,STMD_L,LPTC_R,LPTC_L,LPTC_HR
742,0.0,0.0,0.059969464562237985,0.0045365814854280056,0.07543288307680998
743,0.0,0.0,0.05860231409765541,0.005183237760095613,0.07341907633755979
744,0.0,0.0,0.06132428751163041,0.005410426832414835,0.07591386067921559
745,0.0,0.0,0.06586783979832116,0.005357662856768463,0.08051017694155269
746,0.0,0.0,0.07894199776866377,0.0051296514226634934,0.09381234634600029
747,0.0,0.0,0.09305448834912582,0.004797052362727546,0.10825743598639828
748,0.0,0.0,0.11053519065081106,0.00442151089782266,0.1261136797529884
749,0.0,0.0,0.14049114503359011,0.004032858598775279,0.15645828643481483
750,0.0,0.0,0.18107256386769577,0.007040225779472237,0.19403233808822348
751,0.0,0.0,0.21085817145384858,0.008455997868894696,0.22240217358495387
752,0.0,0.0,0.23269293252691653,0.009649499419411884,0.24304343310750462
753,0.0,0.0,0.24672508620470412,0.010287773386066748,0.2564373128186374
754,0.0,0.0,0.25429915918150436,0.0024156685413074057,0.271883490640197
755,0.0,0.0,0.2558499848840817,0.005507876232934278,0.2703421086511475
756,0.0,0.0,0.2354010669809154,0.008326699221612568,0.24707436775930283
757,0.0,0.0,0.19966510212352795,0.011344063876873766,0.20832103824665413
758,0.0,0.0,0.15943146044045264,0.012793910243350842,0.16663755019710177
759,0.0,0.0,0.11748652317501475,0.006796317984112592,0.13069020519090216
760,0.0,0.0,0.10842997094658302,0.006774418209569485,0.12165555273701353
761,0.0,0.0,0.09402625508657582,0.006505500183776509,0.10752075490279932
762,0.0,0.0,0.07824648101511819,0.006090414803609235,0.09215606621150897
763,0.0,0.0,0.06464560681004099,0.005601616616528039,0.07904399019351296
764,0.0,0.0,0.06044334840925786,0.005089235298630132,0.07535411311062773
765,0.0,0.0,0.06294045506765455,0.00457728086814394,0.07836317419951062
766,0.0,0.0,0.07005793011895205,0.0040934856752965305,0.08596444444365552
767,0.0,0.0,0.08238606617540746,0.003648288791529194,0.09873777738387828
