Index	Video	Part	Numparts	Pixel2PR	Blur width
129	2018_05_31_11_54_11.mj2	12	39	18	72
130	2018_05_31_11_54_11.mj2	13	39	18	72
131	2018_05_31_11_54_11.mj2	14	39	18	72
132	2018_05_31_11_54_11.mj2	15	39	18	72
133	2018_05_31_11_54_11.mj2	16	39	18	72
134	2018_05_31_11_54_11.mj2	17	39	18	72
135	2018_05_31_11_54_11.mj2	18	39	18	72
136	2018_05_31_11_54_11.mj2	19	39	18	72
137	2018_05_31_11_54_11.mj2	20	39	18	72
138	2018_05_31_11_54_11.mj2	21	39	18	72
139	2018_05_31_11_54_11.mj2	22	39	18	72
140	2018_05_31_11_54_11.mj2	23	39	18	72
141	2018_05_31_11_54_11.mj2	24	39	18	72
142	2018_05_31_11_54_11.mj2	25	39	18	72
143	2018_05_31_11_54_11.mj2	26	39	18	72
144	2018_05_31_11_54_11.mj2	27	39	18	72
145	2018_05_31_11_54_11.mj2	28	39	18	72
146	2018_05_31_11_54_11.mj2	29	39	18	72
147	2018_05_31_11_54_11.mj2	30	39	18	72
148	2018_05_31_11_54_11.mj2	31	39	18	72
149	2018_05_31_11_54_11.mj2	32	39	18	72
150	2018_05_31_11_54_11.mj2	33	39	18	72
151	2018_05_31_11_54_11.mj2	34	39	18	72
152	2018_05_31_11_54_11.mj2	35	39	18	72
153	2018_05_31_11_54_11.mj2	36	39	18	72
154	2018_05_31_11_54_11.mj2	37	39	18	72
155	2018_05_31_11_54_11.mj2	38	39	18	72
156	2018_05_31_11_54_11.mj2	39	39	18	72
157	2018_05_31_11_54_11.mj2	1	39	18	90
158	2018_05_31_11_54_11.mj2	2	39	18	90
159	2018_05_31_11_54_11.mj2	3	39	18	90
160	2018_05_31_11_54_11.mj2	4	39	18	90
161	2018_05_31_11_54_11.mj2	5	39	18	90
162	2018_05_31_11_54_11.mj2	6	39	18	90
163	2018_05_31_11_54_11.mj2	7	39	18	90
164	2018_05_31_11_54_11.mj2	8	39	18	90
165	2018_05_31_11_54_11.mj2	9	39	18	90
166	2018_05_31_11_54_11.mj2	10	39	18	90
167	2018_05_31_11_54_11.mj2	11	39	18	90
168	2018_05_31_11_54_11.mj2	12	39	18	90
169	2018_05_31_11_54_11.mj2	13	39	18	90
170	2018_05_31_11_54_11.mj2	14	39	18	90
171	2018_05_31_11_54_11.mj2	15	39	18	90
172	2018_05_31_11_54_11.mj2	16	39	18	90
173	2018_05_31_11_54_11.mj2	17	39	18	90
174	2018_05_31_11_54_11.mj2	18	39	18	90
175	2018_05_31_11_54_11.mj2	19	39	18	90
176	2018_05_31_11_54_11.mj2	20	39	18	90
177	2018_05_31_11_54_11.mj2	21	39	18	90
178	2018_05_31_11_54_11.mj2	22	39	18	90
179	2018_05_31_11_54_11.mj2	23	39	18	90
180	2018_05_31_11_54_11.mj2	24	39	18	90
181	2018_05_31_11_54_11.mj2	25	39	18	90
182	2018_05_31_11_54_11.mj2	26	39	18	90
183	2018_05_31_11_54_11.mj2	27	39	18	90
184	2018_05_31_11_54_11.mj2	28	39	18	90
185	2018_05_31_11_54_11.mj2	29	39	18	90
186	2018_05_31_11_54_11.mj2	30	39	18	90
187	2018_05_31_11_54_11.mj2	31	39	18	90
188	2018_05_31_11_54_11.mj2	32	39	18	90
189	2018_05_31_11_54_11.mj2	33	39	18	90
190	2018_05_31_11_54_11.mj2	34	39	18	90
191	2018_05_31_11_54_11.mj2	35	39	18	90
192	2018_05_31_11_54_11.mj2	36	39	18	90
193	2018_05_31_11_54_11.mj2	37	39	18	90
194	2018_05_31_11_54_11.mj2	38	39	18	90
195	2018_05_31_11_54_11.mj2	39	39	18	90
196	2018_05_31_11_54_11.mj2	1	39	18	108
197	2018_05_31_11_54_11.mj2	2	39	18	108
198	2018_05_31_11_54_11.mj2	3	39	18	108
199	2018_05_31_11_54_11.mj2	4	39	18	108
200	2018_05_31_11_54_11.mj2	5	39	18	108
201	2018_05_31_11_54_11.mj2	6	39	18	108
202	2018_05_31_11_54_11.mj2	7	39	18	108
203	2018_05_31_11_54_11.mj2	8	39	18	108
204	2018_05_31_11_54_11.mj2	9	39	18	108
205	2018_05_31_11_54_11.mj2	10	39	18	108
206	2018_05_31_11_54_11.mj2	11	39	18	108
207	2018_05_31_11_54_11.mj2	12	39	18	108
208	2018_05_31_11_54_11.mj2	13	39	18	108
209	2018_05_31_11_54_11.mj2	14	39	18	108
210	2018_05_31_11_54_11.mj2	15	39	18	108
211	2018_05_31_11_54_11.mj2	16	39	18	108
212	2018_05_31_11_54_11.mj2	17	39	18	108
213	2018_05_31_11_54_11.mj2	18	39	18	108
214	2018_05_31_11_54_11.mj2	19	39	18	108
215	2018_05_31_11_54_11.mj2	20	39	18	108
216	2018_05_31_11_54_11.mj2	21	39	18	108
217	2018_05_31_11_54_11.mj2	22	39	18	108
218	2018_05_31_11_54_11.mj2	23	39	18	108
219	2018_05_31_11_54_11.mj2	24	39	18	108
220	2018_05_31_11_54_11.mj2	25	39	18	108
221	2018_05_31_11_54_11.mj2	26	39	18	108
222	2018_05_31_11_54_11.mj2	27	39	18	108
223	2018_05_31_11_54_11.mj2	28	39	18	108
224	2018_05_31_11_54_11.mj2	29	39	18	108
225	2018_05_31_11_54_11.mj2	30	39	18	108
226	2018_05_31_11_54_11.mj2	31	39	18	108
227	2018_05_31_11_54_11.mj2	32	39	18	108
228	2018_05_31_11_54_11.mj2	33	39	18	108
229	2018_05_31_11_54_11.mj2	34	39	18	108
230	2018_05_31_11_54_11.mj2	35	39	18	108
231	2018_05_31_11_54_11.mj2	36	39	18	108
232	2018_05_31_11_54_11.mj2	37	39	18	108
233	2018_05_31_11_54_11.mj2	38	39	18	108
234	2018_05_31_11_54_11.mj2	39	39	18	108
235	2018_05_31_11_54_11.mj2	1	39	18	126
236	2018_05_31_11_54_11.mj2	2	39	18	126
237	2018_05_31_11_54_11.mj2	3	39	18	126
238	2018_05_31_11_54_11.mj2	4	39	18	126
239	2018_05_31_11_54_11.mj2	5	39	18	126
240	2018_05_31_11_54_11.mj2	6	39	18	126
241	2018_05_31_11_54_11.mj2	7	39	18	126
242	2018_05_31_11_54_11.mj2	8	39	18	126
243	2018_05_31_11_54_11.mj2	9	39	18	126
244	2018_05_31_11_54_11.mj2	10	39	18	126
245	2018_05_31_11_54_11.mj2	11	39	18	126
246	2018_05_31_11_54_11.mj2	12	39	18	126
247	2018_05_31_11_54_11.mj2	13	39	18	126
248	2018_05_31_11_54_11.mj2	14	39	18	126
249	2018_05_31_11_54_11.mj2	15	39	18	126
250	2018_05_31_11_54_11.mj2	16	39	18	126
251	2018_05_31_11_54_11.mj2	17	39	18	126
252	2018_05_31_11_54_11.mj2	18	39	18	126
253	2018_05_31_11_54_11.mj2	19	39	18	126
254	2018_05_31_11_54_11.mj2	20	39	18	126
255	2018_05_31_11_54_11.mj2	21	39	18	126
256	2018_05_31_11_54_11.mj2	22	39	18	126
257	2018_05_31_11_54_11.mj2	23	39	18	126
258	2018_05_31_11_54_11.mj2	24	39	18	126
259	2018_05_31_11_54_11.mj2	25	39	18	126
260	2018_05_31_11_54_11.mj2	26	39	18	126
261	2018_05_31_11_54_11.mj2	27	39	18	126
262	2018_05_31_11_54_11.mj2	28	39	18	126
263	2018_05_31_11_54_11.mj2	29	39	18	126
264	2018_05_31_11_54_11.mj2	30	39	18	126
265	2018_05_31_11_54_11.mj2	31	39	18	126
266	2018_05_31_11_54_11.mj2	32	39	18	126
267	2018_05_31_11_54_11.mj2	33	39	18	126
268	2018_05_31_11_54_11.mj2	34	39	18	126
269	2018_05_31_11_54_11.mj2	35	39	18	126
270	2018_05_31_11_54_11.mj2	36	39	18	126
271	2018_05_31_11_54_11.mj2	37	39	18	126
272	2018_05_31_11_54_11.mj2	38	39	18	126
273	2018_05_31_11_54_11.mj2	39	39	18	126
274	2018_05_31_11_54_11.mj2	1	39	18	144
275	2018_05_31_11_54_11.mj2	2	39	18	144
276	2018_05_31_11_54_11.mj2	3	39	18	144
277	2018_05_31_11_54_11.mj2	4	39	18	144
278	2018_05_31_11_54_11.mj2	5	39	18	144
279	2018_05_31_11_54_11.mj2	6	39	18	144
280	2018_05_31_11_54_11.mj2	7	39	18	144
281	2018_05_31_11_54_11.mj2	8	39	18	144
282	2018_05_31_11_54_11.mj2	9	39	18	144
283	2018_05_31_11_54_11.mj2	10	39	18	144
284	2018_05_31_11_54_11.mj2	11	39	18	144
285	2018_05_31_11_54_11.mj2	12	39	18	144
286	2018_05_31_11_54_11.mj2	13	39	18	144
287	2018_05_31_11_54_11.mj2	14	39	18	144
288	2018_05_31_11_54_11.mj2	15	39	18	144
289	2018_05_31_11_54_11.mj2	16	39	18	144
290	2018_05_31_11_54_11.mj2	17	39	18	144
291	2018_05_31_11_54_11.mj2	18	39	18	144
292	2018_05_31_11_54_11.mj2	19	39	18	144
293	2018_05_31_11_54_11.mj2	20	39	18	144
294	2018_05_31_11_54_11.mj2	21	39	18	144
295	2018_05_31_11_54_11.mj2	22	39	18	144
296	2018_05_31_11_54_11.mj2	23	39	18	144
297	2018_05_31_11_54_11.mj2	24	39	18	144
298	2018_05_31_11_54_11.mj2	25	39	18	144
299	2018_05_31_11_54_11.mj2	26	39	18	144
300	2018_05_31_11_54_11.mj2	27	39	18	144
301	2018_05_31_11_54_11.mj2	28	39	18	144
302	2018_05_31_11_54_11.mj2	29	39	18	144
303	2018_05_31_11_54_11.mj2	30	39	18	144
304	2018_05_31_11_54_11.mj2	31	39	18	144
305	2018_05_31_11_54_11.mj2	32	39	18	144
306	2018_05_31_11_54_11.mj2	33	39	18	144
307	2018_05_31_11_54_11.mj2	34	39	18	144
